country,coicop,component_label,method_family,status,title,source,note,latex_file
Belgium,CP0451,electricity,vat_exclusive_rechained,plotted,"Belgium -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/01_belgium_cp0451_vat_exclusive_rechained.png
Belgium,CP0452,gas,vat_exclusive_rechained,plotted,"Belgium -- gas (CP0452), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/02_belgium_cp0452_vat_exclusive_rechained.png
Croatia,CP0452,gas,vat_exclusive_rechained,plotted,"Croatia -- gas (CP0452), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/03_croatia_cp0452_vat_exclusive_rechained.png
Croatia,CP0455,heat energy,vat_exclusive_rechained,plotted,"Croatia -- heat energy (CP0455), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/04_croatia_cp0455_vat_exclusive_rechained.png
Cyprus,CP0451,electricity,vat_exclusive_rechained,plotted,"Cyprus -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/05_cyprus_cp0451_vat_exclusive_rechained.png
Finland,CP0451,electricity,vat_exclusive_rechained,plotted,"Finland -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/06_finland_cp0451_vat_exclusive_rechained.png
Germany,CP0452,gas,vat_exclusive_rechained,plotted,"Germany -- gas (CP0452), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/07_germany_cp0452_vat_exclusive_rechained.png
Greece,CP0451,electricity,unit_subsidy_rechained,plotted,"Greece -- electricity (CP0451), unit subsidy",Eurostat HICP; Bruegel energy-policy dataset and statutory unit-subsidy schedules; authors' calculations.,"The counterfactual reconstructs a unit price from the HICP, adds the monthly EUR/kWh or EUR/MWh subsidy and rechains the index.",fig/counterfactuals/08_greece_cp0451_unit_subsidy_rechained.png
Greece,CP0452,gas,unit_subsidy_rechained,plotted,"Greece -- gas (CP0452), unit subsidy",Eurostat HICP; Bruegel energy-policy dataset and statutory unit-subsidy schedules; authors' calculations.,"The counterfactual reconstructs a unit price from the HICP, adds the monthly EUR/kWh or EUR/MWh subsidy and rechains the index.",fig/counterfactuals/09_greece_cp0452_unit_subsidy_rechained.png
Ireland,CP0451,electricity,vat_exclusive_rechained,plotted,"Ireland -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/10_ireland_cp0451_vat_exclusive_rechained.png
Ireland,CP0452,gas,vat_exclusive_rechained,plotted,"Ireland -- gas (CP0452), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/11_ireland_cp0452_vat_exclusive_rechained.png
Italy,CP0451,electricity,targeted_social_bonus_aggregate_test,plotted_test_not_final_hicp,"Italy -- electricity (CP0451), social bonus aggregate test",Eurostat HICP; Bruegel energy-policy dataset; ARERA social-bonus information; authors' calculations.,This is an aggregate incidence test for a targeted bill discount; it is shown as an order-of-magnitude exercise rather than a final HICP correction.,fig/counterfactuals/23_italy_cp0451_targeted_social_bonus_aggregate_test.png
Italy,CP0452,gas,targeted_social_bonus_aggregate_test,plotted_test_not_final_hicp,"Italy -- gas (CP0452), social bonus aggregate test",Eurostat HICP; Bruegel energy-policy dataset; ARERA social-bonus information; authors' calculations.,This is an aggregate incidence test for a targeted bill discount; it is shown as an order-of-magnitude exercise rather than a final HICP correction.,fig/counterfactuals/24_italy_cp0452_targeted_social_bonus_aggregate_test.png
Italy,CP0452,gas,vat_exclusive_rechained,plotted,"Italy -- gas (CP0452), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/12_italy_cp0452_vat_exclusive_rechained.png
Lithuania,CP0451,electricity,unit_subsidy_rechained,plotted,"Lithuania -- electricity (CP0451), unit subsidy",Eurostat HICP; Bruegel energy-policy dataset and statutory unit-subsidy schedules; authors' calculations.,"The counterfactual reconstructs a unit price from the HICP, adds the monthly EUR/kWh or EUR/MWh subsidy and rechains the index.",fig/counterfactuals/13_lithuania_cp0451_unit_subsidy_rechained.png
Lithuania,CP0452,gas,unit_subsidy_rechained,plotted,"Lithuania -- gas (CP0452), unit subsidy",Eurostat HICP; Bruegel energy-policy dataset and statutory unit-subsidy schedules; authors' calculations.,"The counterfactual reconstructs a unit price from the HICP, adds the monthly EUR/kWh or EUR/MWh subsidy and rechains the index.",fig/counterfactuals/14_lithuania_cp0452_unit_subsidy_rechained.png
Netherlands,CP0451,electricity,vat_exclusive_rechained,plotted,"Netherlands -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/15_netherlands_cp0451_vat_exclusive_rechained.png
Netherlands,CP0452,gas,vat_exclusive_rechained,plotted,"Netherlands -- gas (CP0452), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/16_netherlands_cp0452_vat_exclusive_rechained.png
Portugal,CP0451,electricity,vat_exclusive_rechained,plotted,"Portugal -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/17_portugal_cp0451_vat_exclusive_rechained.png
Spain,CP0451,electricity,existing_spain_replication,plotted,"Spain -- electricity (CP0451), electricity price measures",Eurostat HICP; Spanish public electricity-market and policy data; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual uses the existing Spain replication of electricity price measures, excluding the proscribed neighbourhood-benchmark method.",fig/counterfactuals/18_spain_cp0451_existing_spain_replication.png
Spain,CP0451,electricity,vat_exclusive_rechained,plotted,"Spain -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/19_spain_cp0451_vat_exclusive_rechained.png
Spain,CP0451,electricity,vat_exclusive_rechained,plotted,"Spain -- electricity (CP0451), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/20_spain_cp0451_vat_exclusive_rechained.png
Spain,CP0452,gas,vat_exclusive_rechained,plotted,"Spain -- gas (CP0452), VAT reduction",Eurostat HICP; Bruegel energy-policy dataset; authors' calculations.,"The counterfactual removes the temporary VAT cut by backing out the reduced-tax price, reapplying the normal VAT rate and rechaining the index.",fig/counterfactuals/21_spain_cp0452_vat_exclusive_rechained.png
Spain,CP0722,transport fuels,unit_fuel_rebate_existing_replication,plotted,"Spain -- transport fuels (CP0722), fuel rebate",Eurostat HICP; EC Weekly Oil Bulletin and national fuel-price data; Bruegel energy-policy dataset; authors' calculations.,The counterfactual adds back the statutory per-litre fuel rebate to the observed pump-price path and rechains the HICP component.,fig/counterfactuals/22_spain_cp0722_unit_fuel_rebate_existing_replication.png
